TimeStamp_round,time,ScaleID,site,Hive,Weight,wt_recon,wt_recon_norm
2018-05-02T05:00:00Z,1525237200,rodeph.2,rodeph,2,40.34,-0.18999999999999612,-2.2731249121494117
2018-05-02T05:00:00Z,1525237200,share.1,share,1,31.35,-6.539999999999999,-1.9586186006530315
2018-05-02T05:00:00Z,1525237200,share.2,share,2,32.82,5.25,-2.6932270581179476
2018-05-02T05:00:00Z,1525237200,share.3,share,3,34.57,8.369999999999997,-2.359201350958033
2018-05-02T05:00:00Z,1525237200,shump.1,shump,1,36.26,0.19999999999999746,-1.1568430394778824
2018-05-02T05:00:00Z,1525237200,shump.2,shump,2,37.7,3.0600000000000014,-1.7469098079549792
2018-05-02T05:00:00Z,1525237200,shump.2,shump,2,37.629999999999995,2.989999999999994,-1.7582642784673903
2018-05-02T05:00:00Z,1525237200,shump.3,shump,3,43.51,16.830000000000002,-2.9179244311047685
2018-05-02T05:00:00Z,1525237200,sofitel.1,sofitel,1,49.43,6.790000000000008,-3.157326255064174
2018-05-02T05:00:00Z,1525237200,sofitel.2,sofitel,2,39.83,7.020000000000001,-1.9565371565842606
2018-05-02T05:00:00Z,1525237200,sofitel.2,sofitel,2,39.93,7.120000000000003,-1.9475528756705822
2018-05-02T05:00:00Z,1525237200,sofitel.3,sofitel,3,45.55,-0.9900000000000049,-2.508269858005463
2018-05-02T05:00:00Z,1525237200,westphilly.1,westphilly,1,43.519999999999996,2.629999999999998,-2.027601283325538
2018-05-02T05:00:00Z,1525237200,westphilly.2,westphilly,2,48.15,3.8399999999999963,-2.549716525042271
2018-05-03T05:00:00Z,1525323600,chestnuthill.1,chestnuthill,1,48.81,0.32000000000000545,-3.043387043412212
2018-05-03T05:00:00Z,1525323600,chestnuthill.2,chestnuthill,2,44.83,4.479999999999999,-2.6273844737390513
2018-05-03T05:00:00Z,1525323600,chestnuthill.3,chestnuthill,3,47.3,8.889999999999999,-2.4521401811359165
2018-05-03T05:00:00Z,1525323600,greensgrow.1,greensgrow,1,33.96,3.9999999999999982,-2.0435683396041378
2018-05-03T05:00:00Z,1525323600,greensgrow.2,greensgrow,2,29.450000000000003,-2.439999999999997,-1.1972785563639952
2018-05-03T05:00:00Z,1525323600,greensgrow.3,greensgrow,3,37.2,4.100000000000001,-0.6836764955029544
2018-05-03T05:00:00Z,1525323600,greensgrow.3,greensgrow,3,37.15,4.049999999999997,-0.6986710051400697
2018-05-03T05:00:00Z,1525323600,milt.1,milt,1,49.65,3.6899999999999995,-2.743584818042994
2018-05-03T05:00:00Z,1525323600,milt.2,milt,2,44.74,1.8200000000000016,-2.018273379709056
2018-05-03T05:00:00Z,1525323600,milt.3,milt,3,41.46,6.200000000000006,-2.215637614658161
2018-05-03T05:00:00Z,1525323600,milt.3,milt,3,41.39,6.130000000000006,-2.225646432845723
2018-05-03T05:00:00Z,1525323600,mtmoriah.1,mtmoriah,1,38.94,2.6199999999999988,-2.428320036205219
2018-05-03T05:00:00Z,1525323600,mtmoriah.2,mtmoriah,2,46.32,3.370000000000008,-2.535212983354332
2018-05-03T05:00:00Z,1525323600,mtmoriah.3,mtmoriah,3,49.18,3.830000000000001,-1.968652790766417
2018-05-03T05:00:00Z,1525323600,mtmoriah.3,mtmoriah,3,49.19,3.839999999999999,-1.9681804905702125
2018-05-03T05:00:00Z,1525323600,oldcity.1,oldcity,1,44.13,0.6100000000000065,-2.5313621749217967
2018-05-03T05:00:00Z,1525323600,oldcity.2,oldcity,2,51.36,-3.2199999999999984,-1.9289811808145283
2018-05-03T05:00:00Z,1525323600,oldcity.3,oldcity,3,43.57,1.4599999999999989,-2.171058152101846
2018-05-03T05:00:00Z,1525323600,paradiso.1,paradiso,1,44.879999999999995,5.510000000000001,-2.395057292301109
2018-05-03T05:00:00Z,1525323600,paradiso.2,paradiso,2,40.17,1.8400000000000036,-1.6663085135623246
2018-05-03T05:00:00Z,1525323600,rodeph.1,rodeph,1,55.24,9.540000000000012,-2.4437242713681457
2018-05-03T05:00:00Z,1525323600,rodeph.2,rodeph,2,40.290000000000006,-0.23999999999999327,-2.2768521443540433
2018-05-03T05:00:00Z,1525323600,share.1,share,1,31.490000000000002,-6.399999999999999,-1.9490805999198066
2018-05-03T05:00:00Z,1525323600,share.2,share,2,33.84,6.270000000000003,-2.5679092533061088
2018-05-03T05:00:00Z,1525323600,share.3,share,3,35.05,8.849999999999994,-2.091532239973496
2018-05-03T05:00:00Z,1525323600,shump.1,shump,1,36.59,0.5300000000000029,-1.1075688886130466
2018-05-03T05:00:00Z,1525323600,shump.2,shump,2,38.25,3.6099999999999985,-1.6576961110717585
2018-05-03T05:00:00Z,1525323600,shump.3,shump,3,46.03,19.350000000000005,-2.7444017180871128
2018-05-03T05:00:00Z,1525323600,sofitel.1,sofitel,1,51.18,8.540000000000008,-2.974350575698723
2018-05-03T05:00:00Z,1525323600,sofitel.2,sofitel,2,39.75,6.940000000000003,-1.963724581315203
2018-05-03T05:00:00Z,1525323600,sofitel.3,sofitel,3,48.07,1.5299999999999983,-2.3383957916364455
2018-05-03T05:00:00Z,1525323600,westphilly.1,westphilly,1,43.72,2.830000000000001,-2.0095700029423775
2018-05-03T05:00:00Z,1525323600,westphilly.2,westphilly,2,48.94,4.6299999999999955,-2.494494317056617
2018-05-04T05:00:00Z,1525410000,chestnuthill.1,chestnuthill,1,49.78,1.2900000000000043,-2.9297591530473506
2018-05-04T05:00:00Z,1525410000,chestnuthill.2,chestnuthill,2,44.96,4.610000000000001,-2.603949730925243
2018-05-04T05:00:00Z,1525410000,chestnuthill.3,chestnuthill,3,47.870000000000005,9.460000000000006,-2.393643462309558
2018-05-04T05:00:00Z,1525410000,greensgrow.1,greensgrow,1,34.339999999999996,4.379999999999994,-2.027346215680141
2018-05-04T05:00:00Z,1525410000,greensgrow.1,greensgrow,1,34.260000000000005,4.3000000000000025,-2.03076139966414
2018-05-04T05:00:00Z,1525410000,greensgrow.2,greensgrow,2,29.36,-2.5300000000000002,-1.2077468077314333
2018-05-04T05:00:00Z,1525410000,greensgrow.3,greensgrow,3,37.8,4.699999999999996,-0.503742379857587
2018-05-04T05:00:00Z,1525410000,milt.1,milt,1,50.86,4.9,-2.665804401383401
2018-05-04T05:00:00Z,1525410000,milt.2,milt,2,44.480000000000004,1.5600000000000036,-2.0575049356941983
2018-05-04T05:00:00Z,1525410000,milt.3,milt,3,41.93,6.670000000000005,-2.148435549684529
2018-05-04T05:00:00Z,1525410000,mtmoriah.1,mtmoriah,1,39.150000000000006,2.8300000000000067,-2.4155391132321866
2018-05-04T05:00:00Z,1525410000,mtmoriah.2,mtmoriah,2,47.85,4.900000000000009,-2.441506776118933
2018-05-04T05:00:00Z,1525410000,mtmoriah.3,mtmoriah,3,48.519999999999996,3.1699999999999973,-1.9998246037159306
2018-05-04T05:00:00Z,1525410000,oldcity.1,oldcity,1,43.75,0.23000000000000398,-2.5935010728453163
2018-05-04T05:00:00Z,1525410000,oldcity.2,oldcity,2,52.1,-2.4799999999999964,-1.8692843719394645
2018-05-04T05:00:00Z,1525410000,oldcity.3,oldcity,3,44.54,2.429999999999998,-2.1233897210983415
2018-05-04T05:00:00Z,1525410000,paradiso.1,paradiso,1,46.15,6.780000000000004,-2.1738420606644806
2018-05-04T05:00:00Z,1525410000,paradiso.2,paradiso,2,39.519999999999996,1.189999999999998,-1.7786508545396706
2018-05-04T05:00:00Z,1525410000,rodeph.1,rodeph,1,56.019999999999996,10.320000000000006,-2.3502435776070305
2018-05-04T05:00:00Z,1525410000,rodeph.2,rodeph,2,40.25,-0.2799999999999995,-2.2798339301177495
2018-05-04T05:00:00Z,1525410000,share.1,share,1,31.560000000000002,-6.329999999999998,-1.944311599553194
2018-05-04T05:00:00Z,1525410000,share.2,share,2,34.74,7.170000000000002,-2.4573347196486046
2018-05-04T05:00:00Z,1525410000,share.3,share,3,35.7,9.5,-1.7290636521819298
